No,Name,Phone,Address,Type
8695,Evelyns Boutique Ltd,07988 777 167,"52 Pierremont Crescent, Darlington, DL3 9PA",Shopping Centres
8696,Michael Kyle Wealth Management Limited,01325 263 123,"30, Pierremont Gardens, Darlington, County Durham, DL3 9PE",Financial Advisers (independent)
8697,Darlington Woodland Bowling Club,01325 268 002,"104, Woodland Road, Darlington, County Durham, DL3 9LN",Sports Clubs
8698,Hollyhurst,01325 252 002,"118, Woodland Road, Darlington, County Durham, DL3 9LN",Nursing Homes
8699,Dr M Saweirs - Orchard Court Surgery,01325 465 285,"Orchard Court, Orchard Road, Darlington, County Durham, DL3 6HZ",Doctors
8700,Orchard Court Surgery,01325 465 285,"Orchard Court, Orchard Road, Darlington, County Durham, DL3 6HZ",Doctors
8701,Dr S Stone - Orchard Court Surgery,01325 465 285,"Orchard Court, Orchard Road, Darlington, County Durham, DL3 6HZ",Doctors
8702,Dr J Schmidt - Orchard Court Surgery,01325 465 285,"Orchard Court, Orchard Road, Darlington, County Durham, DL3 6HZ",Doctors
8703,Ashcroft Pollard & Co Limited,01325 468 177,"2, West Auckland Road, Darlington, County Durham, DL3 9ER",Accounting Activities
8704,Barclays Bank Plc,3457345345,"4 West Auckland Road, Darlington, County Durham, DL3 9ER",Banks And Financial Institutions
8705,Travellers Rest,01325 468 177,"2, West Auckland Road, Darlington, County Durham, DL3 9ER",Public Houses Activities Of
8706,Lee Dynasty,01325 469 943,"10, West Auckland Road, Darlington, County Durham, DL3 9ER",Take Away Meal Outlets
8707,Peter Lord Hairdressing,01325 486 857,"8A, West Auckland Road, Darlington, County Durham, DL3 9ER",Hairdressers (unisex)
8708,Godfathers,01325 464 592,"6, West Auckland Road, Darlington, County Durham, DL3 9ER",Take Away Meal Outlets
8709,Darlington Railway Athletic Club,01325 468 125,"Brinkburn Road, Darlington, County Durham, DL3 9LF",Clubs Social And Associations
8710,Community Library (Cockerton) Limited,01325 461 320,"Cockerton Library, Cockerton Green, Darlington, County Durham, DL3 9AA",
8711,Cockerton Fisheries,01325 467 515,"311, Woodland Road, Darlington, County Durham, DL3 9AA",Fish And Chip Shops
8712,Wm Morrison Supermarkets Limited,0845 611 5000,"11 13 Cockerton Drive, Darlington, County Durham, DL3 9AA",Convenience Stores
8713,Safeway Stores Limited,01325 468 430,"111 113 Woodland Road, Darlington, County Durham, DL3 9AA",Convenience Stores
8714,Wh Smith Retail Holdings Limited,020 7494 1800,"309, Woodland Road, Darlington, County Durham, DL3 9AA",Holding Companies Management Activities
8715,Co-Operative Group Limited,01325 468 430,"315-317, Woodland Road, Darlington, County Durham, DL3 9AA",
8716,Talking Heads,01325 460 300,"321, Woodland Road, Darlington, County Durham, DL3 9AA",Hairdressers (unisex)
8717,Age Uk,01325 362 832,"303, Woodland Road, Darlington, County Durham, DL3 9AA",Charity Shops
8718,Greggs,01325 353 062,"301, Woodland Road, Darlington, County Durham, DL3 9AA",Bakers Shops
8719,St Teresa's Hospice Shop,01325 288 423,"305, Woodland Road, Darlington, County Durham, DL3 9AA",Charity Shops
8720,Cooplands Of Scarborough,01325 354 814,"307, Woodland Road, Darlington, County Durham, DL3 9AA",Bakers Shops
8721,Butterwick Hospice Shop,01325 366 432,"323, Woodland Road, Darlington, County Durham, DL3 9AA",Charity Shops
8722,Happy Days,01325 244 501,"309, Woodland Road, Darlington, County Durham, DL3 9AA",Card And Poster Shops
8723,Cockerton Library,01325 461 320,"Branch Library, Woodland Road, Darlington, County Durham, DL3 9AA",Libraries
8724,Post & Packing,01325 380 578,"309, Woodland Road, Darlington, County Durham, DL3 9AA",Goods Delivery Services
8725,Peartree Hill Tea Room & Cafe,01325 354 300,"313, Woodland Road, Darlington, County Durham, DL3 9AA",Cafes And Snack Bars
8726,W Alderson & Son,01325 358 390,"319, Woodland Road, Darlington, County Durham, DL3 9AA",Butchers
8727,Lloyds Pharmacy Damson Court Darlington,01325 481 152,"9, Damson Court, Orchard Road, Darlington, County Durham, DL3 6JA",Chemists Dispensing
8728,C & S Paving Services,01325 465 072,"43, Hamsterley Street, Darlington, County Durham, DL3 6QE",Paving Contractors
8729,Whitehouse Funeral Service,01325 482 999,"11, West Auckland Road, Darlington, County Durham, DL3 9EJ",Funeral Directors
8730,Rejoy Beauty Limited,01325 351 947,"1, West Auckland Road, Darlington, County Durham, DL3 9EJ",Hairdressers (unisex)
8731,K 9 House Of Style,07789 766 516,"1B, West Auckland Road, Darlington, County Durham, DL3 9EJ",Dog Clipping And Grooming
8732,Cockerton Pharmacy,01325 484 828,"5, West Auckland Road, Darlington, County Durham, DL3 9EJ",Chemists Dispensing
8733,Wardrobe Fairy,07854 970 719,"1F, West Auckland Road, Darlington, County Durham, DL3 9EJ",Second-hand Goods Retail Sale Of
8734,William Hill,0870 518 1715,"4-6, Cockerton Green, Darlington, County Durham, DL3 9EH",Bookmakers And Turf Accountants
8735,Hays Travel Ltd,01325 486 131,"2, Cockerton Green, Darlington, County Durham, DL3 9EH",Travel Agency Activities
8736,Heron Foods,0845 603 7492,"16, Cockerton Green, Darlington, County Durham, DL3 9EH",General And Convenience Stores
8737,Spies 4 U,01325 364 916,"8, Cockerton Green, Darlington, County Durham, DL3 9EH",Restaurant - Indian
8738,Ffresh Creative Limited,07515 381 635,"10, Staindrop Road, Darlington, County Durham, DL3 9AE",Advertising Agency Services
8739,H & S Consultants (Uk) Limited,07748 242 120,"8, Staindrop Road, Darlington, County Durham, DL3 9AE",Alternative Medical Treatments And Therapies
8740,M P Manners Farmer,01325 374 260,"Thornton Hall Cottages, 4, Staindrop Road, Darlington, County Durham, DL3 9AE",Farming (mixed)
8741,Ffresh,07515 381 635,"10, Staindrop Road, Darlington, County Durham, DL3 9AE",Graphic Designers
8742,Era 21 Plus,01325 463 573,"25, Hollyhurst Road, Darlington, County Durham, DL3 6HT",Hairdressers (unisex)
8743,Premier - Major Stores,01325 468 016,"30, Hollyhurst Road, Darlington, County Durham, DL3 6HT",Convenience Stores
8744,Stop N Tan,01325 462 001,"26, Hollyhurst Road, Darlington, County Durham, DL3 6HT",Solariums Activities Related To
8745,Sense Of Style,01325 481 844,"29, West Auckland Road, Darlington, County Durham, DL3 9EL",Bridal Gown Shops
8746,First For Flowers,01325 952 345,"Alma House, 49, West Auckland Road, Darlington, County Durham, DL3 9EL",Florists
8747,Robineau Patisserie,01325 489 129,"27, West Auckland Road, Darlington, County Durham, DL3 9EL",Bakers Shops
8748,Whitbread Group Plc,01582 424 200,"West Auckland Road, Cockerton, Darlington, County Durham, DL3 9EL",Hotels
8749,L.Rowland & Company (Retail) Limited,01325 380 735,"19, West Auckland Road, Darlington, County Durham, DL3 9EL",Chemists Dispensing
8750,Foot Stop,01325 353 366,"17, West Auckland Road, Darlington, County Durham, DL3 9EL",Chiropodists And Podiatrists
8751,Carole Dawson,07800 985 292,"17, West Auckland Road, Darlington, County Durham, DL3 9EL",Alternative Medical Treatments And Therapies
8752,The Village Optician,01325 489 684,"47, West Auckland Road, Darlington, County Durham, DL3 9EL",Opticians Ophthalmic
8753,Rowlands Pharmacy,01325 380 735,"19, West Auckland Road, Darlington, County Durham, DL3 9EL",Chemists Dispensing
8754,Cockerton Post Office,01325 381 380,"21, West Auckland Road, Darlington, County Durham, DL3 9EL",Post Offices
8755,Lovely Laundry Ltd,01325 482 043,"25, West Auckland Road, Darlington, County Durham, DL3 9EL",Ironing Services
8756,Serendipity Pre-School,07432 129 909,"2, Willow Road, Darlington, County Durham, DL3 6PZ",Pre School Education
8757,Willow Road Community Centre,07527 016 392,"2, Willow Road, Darlington, County Durham, DL3 6PZ",Community Centres
8758,Coral Racing Limited,0800 440 011,"18, West Auckland Road, Darlington, County Durham, DL3 9EP",Bookmakers And Turf Accountants
8759,Co-Operative Group Limited,01325 486 939,"16, West Auckland Road, Darlington, County Durham, DL3 9EP",
8760,Wise Owl Property Ltd,01325 494 678,"26, West Auckland Road, Darlington, County Durham, DL3 9EP",Letting Agents
8761,Carter Thompson & Associates Ltd,01325 487 554,"64, West Auckland Road, Darlington, County Durham, DL3 9EP",Financial Advisers (independent)
8762,Little Fat Buddha,01325 467 766,"30, West Auckland Road, Darlington, County Durham, DL3 9EP",Take Away Meal Outlets
8763,Changes Unisex,01325 466 041,"58, West Auckland Road, Darlington, County Durham, DL3 9EP",Hairdressers (unisex)
8764,Darlington Building Society,01325 382 660,"20, West Auckland Road, Darlington, County Durham, DL3 9EP",Building Societies
8765,The Mortgage Advice Centre,01325 245 288,"64, West Auckland Road, Darlington, County Durham, DL3 9EP",Mortgage Brokers
8766,Coral,0800 440 011,"18, West Auckland Road, Darlington, County Durham, DL3 9EP",Bookmakers And Turf Accountants
8767,Co-Op Funeralcare Cockerton,01325 486 939,"16, West Auckland Road, Darlington, County Durham, DL3 9EP",Funeral Directors
8768,The Radio Place Limited,07831 442 864,"2, The Woodlands, Darlington, County Durham, DL3 9UB",
8769,Iconoclast.It Ltd,01325 978 448,"16, Garden Court, The Woodlands, Darlington, County Durham, DL3 9UB",Computer Software (development)
8770,F M Joinery & Building Services,07976 396 615,"57, Brinkburn Drive, Darlington, County Durham, DL3 0LA",Builders
8771,The Links Learning Centre,01325 468 877,"83, Brinkburn Road, Darlington, County Durham, DL3 6DY",Day And Care Centres
8772,Michelle Mctaggart Hairdressing Ltd,01325 259 657,"73, Woodland Terrace, Darlington, County Durham, DL3 9NT",Hairdressers (unisex)
8773,The Changing Room Pr,07834 166 051,"11, Woodland Terrace, Darlington, County Durham, DL3 9NT",Public Relations Consultants
8774,Issy Crocker And Team Limited,01325 363 735,"23, Pierremont Crescent, Darlington, County Durham, DL3 9PB",Business Services
8775,F P C Darlington Owners Ltd,01325 487 117,"Flat 7, 15, Pierremont Crescent, Darlington, County Durham, DL3 9PB",Property Owners
8776,Parsec Consulting Engineers,01325 488 877,"27, Pierremont Crescent, Darlington, County Durham, DL3 9PB",Mechanical Engineering General
8777,Milbank News,01325 466 954,"37, Pierremont Crescent, Darlington, County Durham, DL3 9PB",General And Convenience Stores
8778,D&E Renewables Ltd,01388 608 620,"St Johns Schoolhouse, Central Parade, Co Durham, Shildon, County Durham, DL4 1DL",
8779,Revive Therapy Centre,07736 278 673,"29, St. Johns Road, Shildon, County Durham, DL4 1LT",Masseurs
8780,K K & J Catering Ltd,07477 837 312,"15, Hackworth Road, Shildon, County Durham, DL4 1LX",Caterers
8781,Shildon Railway Sports & Social Club,01388 772 068,"Hackworth Road, Shildon, County Durham, DL4 1LX",Clubs Social And Associations
8782,Bupa Dental Care Shildon,01388 772 678,"Limetree House, St Johns Rd, Shildon, County Durham, DL4 1LU",Dentists
8783,Chimney Sweep,01388 772 813,"9, Drybourne Park, Shildon, County Durham, DL4 1JA",Chimney Sweeps
8784,Cafe Limone Limited,01388 773 541,"3, Main Street, Shildon, County Durham, DL4 1AJ",Restaurants
8785,Salvos,01388 773 541,"3, Main Street, Shildon, County Durham, DL4 1AJ",Restaurant - Italian
8786,Hancock & Ainsley,01388 772 280,"1, Main Street, Shildon, County Durham, DL4 1AJ",Chemists Dispensing
8787,Firefly Bistro & Bar,01388 776 777,"3, Main Street, Shildon, County Durham, DL4 1AJ",Restaurants
8788,Royal George,01388 327 558,"11-13, Main Street, Shildon, County Durham, DL4 1AJ",Public Houses Activities Of
8789,Hayfields Contracting Limited,07767 377 517,"32, Diamond Street, Shildon, County Durham, DL4 1HY",Landscape Contractors
8790,Middleton Garage Limited,01388 777 468,"Middleton Road, Shildon, County Durham, DL4 1NL",Car Dealers (new & Used)
8791,Middleton Road Garage,01388 777 468,"Middleton Road, Shildon, County Durham, DL4 1NL",Mot Testing Stations
8792,Racebourne Limited,07939 127 806,"1, Oxford Street, Shildon, County Durham, DL4 1HR",Architectural Services
8793,Old Shildon Workmens Club & Institute Ltd,01388 772 173,"26, Main Street, Shildon, County Durham, DL4 1AH",Clubs Social And Associations
8794,South West Durham News Cic,01388 775 896,"Civic Hall Square, Town Council Offices, Co Durham, Shildon, County Durham, DL4 1AH",Printers General
8795,Voidservices Limited,01388 778 431,"Civic Centre Square, Main Street, Shildon, County Durham, DL4 1AH",Alternative Medical Treatments And Therapies
8796,Community Newspaper Ltd,01388 775 896,"32, Main Street, Shildon, County Durham, DL4 1AH",Newspapers Publishing
8797,Shildon Town Council,01388 772 563,"Civic Centre Square, Main Street, Shildon, County Durham, DL4 1AH",Local Government
8798,Shildon Town Council Civic Hall,01388 772 902,"Civic Centre Square, Main Street, Shildon, County Durham, DL4 1AH",Function Room For Hire
8799,North Eastern Co-Operative Trading Services Limited,01388 773 373,"Church Street, Shildon, County Durham, DL4 1DS",
8800,Shildon Tandoori,01388 777 888,"31, Church Street, Shildon, County Durham, DL4 1DS",Fast Food Delivery
8801,Children In Distress,01388 773 405,"17, Church Street, Shildon, County Durham, DL4 1DS",Charity Shops
8802,Enhance,01388 778 558,"25A, Church Street, Shildon, County Durham, DL4 1DS",Hairdressers (unisex)
8803,Miami Pizza,01388 777 964,"33, Church Street, Shildon, County Durham, DL4 1DS",Take Away Meal Outlets
8804,China Chef,01388 772 388,"37, Church Street, Shildon, County Durham, DL4 1DS",Take Away Meal Outlets
8805,Corner Cafe,01388 229 678,"7, Church Street, Shildon, County Durham, DL4 1DS",Cafes And Snack Bars
8806,Milligans,01388 772 130,"15, Church Street, Shildon, County Durham, DL4 1DS",Bakers Shops
8807,Liberty Drums Limited,0845 009 0672,"4, Richmond Close, Shildon, County Durham, DL4 1NW",
8808,Liberty Seven Ltd,0845 009 0672,"4, Richmond Close, Shildon, County Durham, DL4 1NW",It Consultants
8809,Armiger Joinery Ltd,01388 778 879,"11, Granville Avenue, Shildon, County Durham, DL4 1JN",Joinery And Carpentry
8810,Blossom And Crown Ltd,01388 417 447,"4, Church Street, Shildon, County Durham, DL4 1DU",Hairdressers (unisex)
8811,B & M Retail Limited,3308389035,"Church Street, Shildon, County Durham, DL4 1DU",
8812,Ladbrokes Betting & Gaming Limited,0800 731 6191,"12, Church Street, Shildon, County Durham, DL4 1DU",Bookmakers And Turf Accountants
8813,Shildon Library,3000269526,"Shildon Library, Church Street, Shildon, County Durham, DL4 1DU",Libraries
8814,Bits-N-Pieces,01388 205 680,"8, Church Street, Shildon, County Durham, DL4 1DU",Second-hand Goods Retail Sale Of
8815,B & M Stores Shildon,3308389035,"Flat 8, Church Street, Shildon, County Durham, DL4 1DU",Discount Centres
8816,E Z-Tech,01388 773 008,"8, Church Street, Shildon, County Durham, DL4 1DU",Computer Systems And Software (sales)
8817,Ladbrokes,0800 731 6191,"12, Church Street, Shildon, County Durham, DL4 1DU",Bookmakers And Turf Accountants
8818,Godfrey's The Butchers,01388 772 884,"10, Church Street, Shildon, County Durham, DL4 1DU",Butchers
8819,Haven Properties 2017 Limited,020 8213 3000,"73, Church Street, Shildon, County Durham, DL4 1DT",Letting Agents
8820,Halifax Limited,0845 739 4959,"43-45, Church Street, Shildon, County Durham, DL4 1DT",
8821,Darlington & District Hospice Movement,01388 775 445,"67, Church Street, Shildon, County Durham, DL4 1DT",Hospitals
8822,A A A Appliance Care Centre,01388 417 117,"39-41, Church Street, Shildon, County Durham, DL4 1DT",Domestic Appliances (sales)
8823,Superior Property Management A Moore Ltd,01388 773 355,"Superior Property Management A M, 99A, Dl4 1Dt, Shildon, County Durham, DL4 1DT",Letting Agents
8824,Age Concern Durham County Trading Limited,0191 386 3856,"51-55, Church Street, Shildon, County Durham, DL4 1DT",
8825,Pm Racing Ltd,07783 335 781,"83, Church Street, Shildon, County Durham, DL4 1DT",Motor Cycles & Scooters
8826,Hays Travel,01388 777 000,"63, Church Street, Shildon, County Durham, DL4 1DT",Travel Agency Activities
8827,American Nails,01388 774 130,"75, Church Street, Shildon, County Durham, DL4 1DT",Manicurists
8828,Oriental Delights,01388 776 965,"57, Church Street, Shildon, County Durham, DL4 1DT",Beauty Salons
8829,Fudge Hair Design,01388 778 172,"57, Church Street, Shildon, County Durham, DL4 1DT",Hairdressers (unisex)
8830,St T's,01388 775 445,"67, Church Street, Shildon, County Durham, DL4 1DT",Charity Shops
8831,Kelly's Cards & Gifts,01388 772 323,"79, Church Street, Shildon, County Durham, DL4 1DT",Card And Poster Shops
8832,Platinum Property Services N E Ltd,01388 773 355,"Flat 97-99, Church Street, Shildon, County Durham, DL4 1DT",Estate Agents
8833,Unique Pizza,01388 776 655,"77, Church Street, Shildon, County Durham, DL4 1DT",Pizza Suppliers
8834,Chop Suey House,01388 772 962,"59, Church Street, Shildon, County Durham, DL4 1DT",Take Away Meal Outlets
8835,Tanned,01388 205 040,"71, Church Street, Shildon, County Durham, DL4 1DT",Solariums Activities Related To
8836,Shildon Alive,01388 417 600,"91-95, Church Street, Shildon, County Durham, DL4 1DT",Charities And Charitable Organisations
8837,Mr G Fay - Shildon Smile Care,01388 775 104,"27, Main Street, Shildon, County Durham, DL4 1AL",Dentists
8838,Civic Properties Limited,01388 741 192,"32B, Church Street, Shildon, County Durham, DL4 1DX",Business Services
8839,British Red Cross Society,0844 871 1111,"26, Church Street, Shildon, County Durham, DL4 1DX",
8840,Fj Estates Ne Limited,01388 819 648,"40, Church Street, Shildon, County Durham, DL4 1DX",Letting Agents
8841,The Sweet Shake Shack,01388 777 761,"34, Church Street, Shildon, County Durham, DL4 1DX",Confectioners (retail)
8842,Martin Bage Ltd,01388 776 000,"40, Church Street, Shildon, County Durham, DL4 1DX",Financial Advisers (independent)
8843,Beijing Chef Limited,01375 390 270,"22, Church Street, Shildon, County Durham, DL4 1DX",Take Away Meal Outlets
8844,Simpson Shoe Repairs,01388 777 709,"24, Church Street, Shildon, County Durham, DL4 1DX",Shoes Repairs Of
8845,M & M Pharmacy,01388 772 147,"14, Church Street, Shildon, County Durham, DL4 1DX",Chemists Dispensing
8846,Shildon Food For Less,01388 777 757,"30, Church Street, Shildon, County Durham, DL4 1DX",Frozen Food Processors And Distributors
8847,Red Chilli,01388 775 777,"26, Church Street, Shildon, County Durham, DL4 1DX",Caterers
8848,F J Estates,01388 819 648,"40, Church Street, Shildon, County Durham, DL4 1DX",Estate Agents
8849,Smith Roddam Solicitors,01388 772 661,"18, Church Street, Shildon, County Durham, DL4 1DX",Solicitors
8850,Shildon Association Football Club,01388 773 877,"9, Dean Street, Shildon, County Durham, DL4 1EZ",Sports Clubs
8851,United Response,020 8246 5200,"Back Of Byerley Road, Shildon, County Durham, DL4 1HN",
8852,Church Street Post Office,01388 772 601,"48, Church Street, Shildon, County Durham, DL4 1DR",Post Offices
8853,Timothy Hackworth Primary School,01388 772 959,"Byerley Road, Shildon, County Durham, DL4 1HN",Primary And Junior Schools (local Authority)
8854,Dianne White's Academy Of Dance,07795 202 707,"The Studio, Cross Street, Shildon, County Durham, DL4 1PF",Dancing Schools
8855,The Salvation Army Church,01388 644 277,"Cross Street, Shildon, County Durham, DL4 1PF",Religious Organisations And Places Of Worship
8856,Alan Fryatt & Co,01388 773 535,"43-45 Church Street, Shildon, County Durham, DL4 1DT",Accounting Activities
8857,Adaptdev Ltd,0191 359 2298,"42, Church Street, Shildon, County Durham, DL4 1DY",Computer Software (development)
8858,Cooper & Leatherbarrow Ltd,01388 772 057,"42, Church Street, Shildon, County Durham, DL4 1DY",Opticians Ophthalmic
8859,P Lee,01388 772 270,"60, Church Street, Shildon, County Durham, DL4 1DY",Hairdressers (gents)
8860,Dunnbarton Interiors,01388 776 615,"62, Church Street, Shildon, County Durham, DL4 1DY",Curtain And Blind Fitting
8861,Church Street Launderette,01388 205 919,"72, Church Street, Shildon, County Durham, DL4 1DY",Laundries
8862,Dash Hair Design,01388 773 025,"44, Church Street, Shildon, County Durham, DL4 1DY",Hairdressers (unisex)
8863,St John's Church Of England Aided Primary School Shildon,01388 773 476,"Jubilee Road, Shildon, County Durham, DL4 2EQ",Primary And Junior Schools (local Authority)
8864,Carnival Fun Fairs,07836 350 507,"45 Church St, Shildon, County Durham, DL4 1DT",Corporate Entertainment And Hospitality
8865,Punch Partnerships (Pml) Limited,01283 501 600,"Coronation Avenue, Shildon, County Durham, DL4 2AB",Beer Wine And Spirit (retail)
8866,Comdec Limited,01843 832 527,"25, Pearl Street, Shildon, County Durham, DL4 1JB",Painters And Decorators
8867,The Locomotive,01388 772 108,"207, Byerley Road, Shildon, County Durham, DL4 1HL",Public Houses Activities Of
8868,Cooper And Leatherbarrow - Shildon,01388 772 057,"42 Church Street, Shildon, County Durham, DL4 1DY",Optical Goods (retail)
8869,Andys Cabs,01388 778 877,"166, Byerley Road, Shildon, County Durham, DL4 1HW",Taxis And Private Hire Vehicles
8870,Carpets2You Ltd,01388 773 200,"34 Church Street, Shildon, County Durham, DL4 1DX",Carpet And Rug Retailers
8871,The Motor Shop,01388 773 654,"2, Cheapside, Shildon, County Durham, DL4 2HW",Car Accessories And Parts
8872,Express Stores,01388 772 191,"3, Cheapside, Shildon, County Durham, DL4 2HW",Newsagents
8873,Scrum Evolution,3332244359,"42 Church St, Shildon, County Durham, DL4 1DY",Training Providers
8874,Holly Lodge Care Home,01388 779 265,"1-2, Maddison Street, Shildon, County Durham, DL4 1NX",Residential Care Establishments
8875,Sugar And Spice Restaurant Limited,01388 777 775,"100, Main Street, Shildon, County Durham, DL4 1AQ",Restaurants
8876,Main Place Nims,01388 776 366,"102-104, Main Street, Shildon, County Durham, DL4 1AQ",Take Away Meal Outlets
8877,Spice Island,01388 777 775,"100, Main Street, Shildon, County Durham, DL4 1AQ",Restaurant - Indian
8878,Nigel Dent Car & Commercial Resprays,01388 777 689,"Albert Street, Shildon, County Durham, DL4 2DN",Garage Related Services
8879,Sarah's Plaice,01388 773 400,"7, Albert Street, Shildon, County Durham, DL4 2DN",Fish And Chip Shops
8880,Bizzy Bee Gardening Services,07780 497 270,"35, Albert Street, Shildon, County Durham, DL4 2DN",Gardening Services
8881,Humbles Garage,01388 778 070,"1 Robson Street, Shildon, County Durham, DL4 1EB",Motor Vehicle Mechanics
8882,Aafixing,07802 490 136,"Ashdale Byerley Rd, Shildon, County Durham, DL4 1HN",Flooring Services
8883,Gibson's Funeral Services,01388 772 244,"Gibsons House, Association Street, Shildon, County Durham, DL4 1EF",Funeral Directors
8884,Jubilee Fields Community Association,01388 775 425,"Jubilee Road, Shildon, County Durham, DL4 2AL",Clubs Social And Associations
8885,Frydayz Of Shildon Limited,01388 229 284,"Unit 3, Jubilee Road, Shildon, County Durham, DL4 2AL",Cafes And Snack Bars
8886,Jubilee Fields Community Centre,01388 775 425,"Jubilee Road, Shildon, County Durham, DL4 2AL",Community Centres
8887,Frydayz,01388 229 284,"Unit 3, Jubilee Road, Shildon, County Durham, DL4 2AL",Fish And Chip Shops
8888,Spar Shildon,01388 777 739,"Unit 1, Jubilee Road, Shildon, County Durham, DL4 2AL",General And Convenience Stores
8889,One Stop Community Stores Limited,01388 774 470,"101, Byerley Road, Shildon, County Durham, DL4 1HU",Convenience Stores
8890,One Stop Corner Shop,01388 774 470,"101, Byerley Road, Shildon, County Durham, DL4 1HU",Convenience Stores
8891,Milestone,01388 773 110,"113, Byerley Road, Shildon, County Durham, DL4 1HU",Home Care And Help Services
8892,Cape To Cairo,01388 775 914,"225, Byerley Road, Shildon, County Durham, DL4 1HH",Restaurants
8893,Redworth,01388 777 311,"Byerley Road, Shildon, County Durham, DL4 1HQ",Nursing Homes
8894,Hallgarth Surgery,01388 772 662,"Cheapside, Shildon, County Durham, DL4 2HP",Doctors
8895,Intrahealth Ltd,01388 777 734,"5, Cheapside, Shildon, County Durham, DL4 2HP",Chemists Dispensing
8896,Dr C Boin - Hallgarth Surgery,01388 772 662,"Cheapside, Shildon, County Durham, DL4 2HP",Doctors
8897,B&M Store,3308389035,"Church Street, Shildon, County Durham, DL4 1DU",Drinks - Delivered
8898,Chisholm Bookmakers Ltd,01670 813 388,"20, Market Place, Shildon, County Durham, DL4 2DP",Bookmakers And Turf Accountants
8899,Chisholm Bookmakers Ltd,01670 813 388,"11A, Redworth Road, Shildon, County Durham, DL4 2JB",Bookmakers And Turf Accountants
8900,"""Slimming World Field Area \""B\"" Limited""",0844 892 0400,"51, Main Street, Shildon, County Durham, DL4 1AN",Alternative Medical Treatments And Therapies
8901,Phil Hedley Tyres,01388 777 346,"59, Main Street, Shildon, County Durham, DL4 1AN",Tyre Dealers
8902,Karen's Plaice,01388 773 232,"1, Maple Avenue, Shildon, County Durham, DL4 2AQ",Fish And Chip Shops
8903,Racebourne Limited,07939 127 806,"20, Redworth Road, Shildon, County Durham, DL4 2JE",Architectural Services
8904,Co-Op Food,01388 772 189,"18, Redworth Road, Shildon, County Durham, DL4 2JE",Supermarkets
8905,Gb Communications,01388 778 368,"Norland House, Hackworth Industrial Park, Shildon, County Durham, DL4 1HE",Radio Equipment
8906,The Canteen Bar & Kitchen,07749 995 449,"Norland House, Hackworth Industrial Park, Shildon, County Durham, DL4 1HE",Cafes And Snack Bars
8907,Lees Chinese Takeaway,01388 773 929,"24-28, Byerley Road, Shildon, County Durham, DL4 1JQ",Take Away Meal Outlets
8908,R Aldworth,07754 272 548,"13, Braithwaite Street, Shildon, County Durham, DL4 1JF",Painters And Decorators
8909,Douglas Desserts At The Whistle Stop Cafe,01388 772 626,"22, Redworth Road, Shildon, County Durham, DL4 2JF",Cafes And Snack Bars
8910,Sangers Buildings & Joinery Group Ltd,07728 360 508,"10, Stead Close, Newton Aycliffe, County Durham, DL5 4HF",Builders
8911,C B Roadshows,07969 742 831,"17, Priestman Road, Newton Aycliffe, County Durham, DL5 4EY",Mobile Disco Operators
8912,I Cool Refrigeration Ltd,07727 084 029,"22, Lightfoot Road, Newton Aycliffe, County Durham, DL5 4EP",Freezers And Refrigerators Servicing Of
8913,Lloydspharmacy,01325 318 135,"Pease Way Medical Centre, Newton Aycliffe, Newton Aycliffe, County Durham, DL5 5NH",Paving Supplies
8914,Cut Above The Rest Tiling Ltd,07542 865 708,"14, Tunstall Road, Newton Aycliffe, County Durham, DL5 7AH",Plumbers
8915,Cut Above Tiling,07542 865 708,"14, Tunstall Road, Newton Aycliffe, County Durham, DL5 7AH",Tile Laying And Fitting Contractors
8916,House Of Eden Childrens Nursery,01325 315 623,"Stephenson Way, Newton Aycliffe, County Durham, DL5 7DD",Nursery Schools
8917,Stephenson Way Academy & Nursery School,01325 300 324,"Stephenson Way, Newton Aycliffe, County Durham, DL5 7DD",Primary And Junior Schools (foundation)
8918,Brookleigh Riding Centre Limited,01325 718 286,"Humphrey Close, Newton Aycliffe, County Durham, DL5 4EX",Entertainments
8919,Woodham Burn Community Primary School,01325 300 230,"Humphrey Close, Newton Aycliffe, County Durham, DL5 4EX",Primary And Junior Schools (local Authority)
8920,Dr G Walker - Pease Way Medical Centre,01325 528 000,"2, Pease Way, Newton Aycliffe, County Durham, DL5 5NH",Doctors
8921,Peasway Clinic,01325 529 000,"2, Pease Way, Newton Aycliffe, County Durham, DL5 5NH",Chiropodists And Podiatrists
8922,Lloyds Pharmacy Newton Aycliffe Co Durham,01325 318 135,"2, Pease Way, Newton Aycliffe, County Durham, DL5 5NH",Chemists Dispensing
8923,Pease Way Medical Centre,01325 528 000,"2, Pease Way, Newton Aycliffe, County Durham, DL5 5NH",Doctors
8924,Dr M Pritchard - Pease Way Medical Centre,01325 528 000,"2, Pease Way, Newton Aycliffe, County Durham, DL5 5NH",Doctors
8925,Dr K Shahid - Pease Way Medical Centre,01325 528 000,"2, Pease Way, Newton Aycliffe, County Durham, DL5 5NH",Doctors
8926,Dr K Mbah - Pease Way Medical Centre,01325 528 000,"2, Pease Way, Newton Aycliffe, County Durham, DL5 5NH",Doctors
8927,Dr T Scott - Pease Way Medical Centre,01325 528 000,"2, Pease Way, Newton Aycliffe, County Durham, DL5 5NH",Doctors
